,Iteration,Fitness,Time,State,schedule,max_iters,Temperature,type,init_temp,decay,min_temp,current_value,exp_const
34,1,19.0,0.0035188000001653563,[ 6 19 14 10  7 20  6 18 10 10 20 12  7  2 20  1 11  5  1 20  0],10,512,10,geometric,10,0.99,0.001,9.999646355035356,
35,2,17.0,0.00523940000039147,[ 6 19 14 10  7 20  6 18 10 16 20 12  7  2 20  1 11  5  1 20  0],10,512,10,geometric,10,0.99,0.001,9.999473436567191,
36,4,17.0,0.007607399999869813,[ 6 19 14 10  7 20  6 18 10 16 20 20  7  2 14  1 11  5  1 20  0],10,512,10,geometric,10,0.99,0.001,9.999235459977855,
37,8,17.0,0.011898400000063702,[ 6 19  4 14  7 20  6 18  1 16 20 20  7  2 14  1 11  5  1 20  9],10,512,10,geometric,10,0.99,0.001,9.99880424233632,
38,16,19.0,0.02291239999976824,[ 6  9 14 18  7  9  6 14  1 16 20 20  7 16  6  1 11  8  1 20  9],10,512,10,geometric,10,0.99,0.001,9.997697491965784,
39,32,20.0,0.040317200000572484,[16  9  0 18 14  9  9 14  6 16 18  1  7  7 14  1 11  8  1 20 16],10,512,10,geometric,10,0.99,0.001,9.99594880682322,
40,64,19.0,0.07182160000047588,[18 12 20 19  0  3  1 14 20 11 15 12  7  7 10  1  5  8 20  1  5],10,512,10,geometric,10,0.99,0.001,9.992784292559286,
41,128,15.0,0.1298495000000912,[14 16  7  0 16 12  4 20 11  2  4  5  0 16 10 16  7 13  4  8  0],10,512,10,geometric,10,0.99,0.001,9.986958200973433,
42,256,13.0,0.23844410000037897,[ 0 20 13  8 18  0  4  9 11 19 19  4 14 14 16  8  2 15  6  8  5],10,512,10,geometric,10,0.99,0.001,9.976064258905266,
43,512,3.0,0.41136809999989055,[14 11 17 20  0 12 18 20 13  2  5 14 19  3 16  7  4  1 15 10  6],10,512,10,geometric,10,0.99,0.001,9.958741472497229,
44,0,17.0,0.0011906999998245738,[ 6 19 14 10  7 20  6 18 10 10 20  3  7  2 20  1 11  5  1 20  0],10,512,10,arithmetic,10,0.0001,0.001,9.99999988093,
45,1,19.0,0.00288529999943421,[ 6 19 14 10  7 20  6 18 10 10 20 12  7  2 20  1 11  5  1 20  0],10,512,10,arithmetic,10,0.0001,0.001,9.99999971147,
46,2,17.0,0.004828099999940605,[ 6 19 14 10  7 20  6 18 10 16 20 12  7  2 20  1 11  5  1 20  0],10,512,10,arithmetic,10,0.0001,0.001,9.99999951719,
