,Iteration,Fitness,Time,State,schedule,max_iters,Temperature,type,init_temp,decay,min_temp,current_value,exp_const
30,128,18.0,0.017917600000146194,[1 0 1 0 1 0 1 0 1 0 0 1 0 1 0 1 0 0 1 0 1],1,512,1,exponential,1,,0.001,0.9999104160128843,0.005
31,256,20.0,0.03066949999993085,[1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1],1,512,1,exponential,1,,0.001,0.9998466642571272,0.005
32,512,20.0,0.03066949999993085,[1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1],1,512,1,exponential,1,,0.001,0.9998466642571272,0.005
33,0,11.0,0.00018869999985327013,[0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1],10,512,10,geometric,10,0.99,0.001,9.999981035034242,
34,1,11.0,0.0006113999997978681,[0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1],10,512,10,geometric,10,0.99,0.001,9.999938552435403,
35,2,13.0,0.0029083999997965293,[0 1 0 0 0 1 0 0 0 1 0 1 0 0 1 0 1 1 1 0 1],10,512,10,geometric,10,0.99,0.001,9.999707700304096,
36,4,10.0,0.004432599999745435,[0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 0 1 1 1 0 0],10,512,10,geometric,10,0.99,0.001,9.999554518735955,
37,8,4.0,0.00514149999980873,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0],10,512,10,geometric,10,0.99,0.001,9.99948327533279,
38,16,11.0,0.007314399999813759,[0 1 1 1 0 0 1 0 0 0 0 1 0 1 0 1 1 0 1 1 1],10,512,10,geometric,10,0.99,0.001,9.999264905253888,
39,32,12.0,0.010447100000419596,[0 0 0 1 0 1 1 0 0 0 0 1 0 1 0 1 1 0 1 1 0],10,512,10,geometric,10,0.99,0.001,9.998950086482784,
40,64,9.0,0.014818599999671278,[0 1 0 0 1 1 0 0 1 1 0 0 0 1 1 1 1 0 1 1 1],10,512,10,geometric,10,0.99,0.001,9.998510791829304,
41,128,10.0,0.026895900000454276,[1 1 1 1 0 0 1 1 1 1 0 0 1 1 0 1 0 1 0 1 1],10,512,10,geometric,10,0.99,0.001,9.99729723703134,
42,256,12.0,0.047577799999999115,[0 1 0 1 0 1 1 0 0 1 1 1 1 0 1 0 0 0 0 1 0],10,512,10,geometric,10,0.99,0.001,9.995219414372556,
43,512,20.0,0.053774300000441144,[0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0],10,512,10,geometric,10,0.99,0.001,9.994596962413823,
44,0,11.0,0.00010610000026645139,[0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1],10,512,10,arithmetic,10,0.0001,0.001,9.99999998939,
45,1,11.0,0.0004343999999036896,[0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1],10,512,10,arithmetic,10,0.0001,0.001,9.99999995656,
