,Iteration,Fitness,Time,State,pop_size,mutation_prob,max_iters,Population Size,Mutation Rate
0,0,11.0,0.0005721999996239902,[0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1],100,0.1,512,100,0.1
1,1,15.0,0.012902499999654538,[0. 1. 0. 1. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 1. 1. 1.],100,0.1,512,100,0.1
2,2,15.0,0.022032199999557633,[0. 1. 0. 1. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 1. 1. 1.],100,0.1,512,100,0.1
3,4,16.0,0.03927690000000439,[1. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0. 1. 1. 1.],100,0.1,512,100,0.1
4,8,19.0,0.07084709999980987,[0. 1. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1.],100,0.1,512,100,0.1
5,16,20.0,0.08767279999938182,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],100,0.1,512,100,0.1
6,32,20.0,0.08767279999938182,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],100,0.1,512,100,0.1
7,64,20.0,0.08767279999938182,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],100,0.1,512,100,0.1
8,128,20.0,0.08767279999938182,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],100,0.1,512,100,0.1
9,256,20.0,0.08767279999938182,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],100,0.1,512,100,0.1
10,512,20.0,0.08767279999938182,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],100,0.1,512,100,0.1
11,0,11.0,0.00030780000088270754,[0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1],100,0.2,512,100,0.2
12,1,14.0,0.007384500000625849,[0. 1. 0. 0. 0. 1. 0. 1. 1. 0. 1. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0.],100,0.2,512,100,0.2
13,2,16.0,0.014125700000477082,[1. 0. 1. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1.],100,0.2,512,100,0.2
14,4,17.0,0.026098400000591937,[0. 1. 0. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 1.],100,0.2,512,100,0.2
15,8,18.0,0.0474913000007291,[1. 0. 1. 0. 1. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0. 1.],100,0.2,512,100,0.2
16,16,18.0,0.09072850000029575,[1. 0. 1. 0. 1. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0. 1.],100,0.2,512,100,0.2
17,32,19.0,0.1793736000008721,[1. 0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],100,0.2,512,100,0.2
18,64,19.0,0.3562493000008544,[1. 0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],100,0.2,512,100,0.2
19,128,19.0,0.7418516000007003,[1. 0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],100,0.2,512,100,0.2
20,256,20.0,1.2693377000005057,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],100,0.2,512,100,0.2
21,512,20.0,1.2693377000005057,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],100,0.2,512,100,0.2
22,0,11.0,0.0009263000001737964,[0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1],100,0.3,512,100,0.3
23,1,15.0,0.008669199999530974,[0. 1. 0. 1. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 1. 1. 1.],100,0.3,512,100,0.3
24,2,16.0,0.015068499999870255,[1. 1. 0. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 1. 0. 1.],100,0.3,512,100,0.3
25,4,17.0,0.026494300000194926,[0. 1. 0. 0. 1. 0. 1. 0. 0. 1. 0. 1. 1. 0. 1. 0. 1. 0. 1. 0. 1.],100,0.3,512,100,0.3
26,8,18.0,0.046975299999758136,[1. 0. 1. 0. 1. 0. 1. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0. 1.],100,0.3,512,100,0.3
27,16,20.0,0.07354539999960252,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],100,0.3,512,100,0.3
28,32,20.0,0.07354539999960252,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],100,0.3,512,100,0.3
