,Iteration,Fitness,Time,State,current_restart,max_iters,Restarts
47,4,14.0,1.4069613000001482,[18 15  1 20  5 11 14  7  3 14 19 16 12 17  1 12 12 14 19  9  2],4,512,5
48,8,12.0,1.4103011000006518,[18 15  1 20  5 11 14  7  3 14 19 16 12 17  1  3  8 14 19  9  2],4,512,5
49,16,12.0,1.4144459000008283,[18 15  1 20  5 11 14  7  3 14 19 16 12 17  1  3  8 14 19  9  2],4,512,5
50,32,9.0,1.4229113999999754,[18 15  1 20  5 11 14  7  3  4 19 16 10 17  1  3  8 14 19  9  2],4,512,5
51,64,6.0,1.4392182999999932,[12 15  1 20  6 11 14  7  3  4 19 16 10 17  5  3  8 14 19  9  2],4,512,5
52,128,5.0,1.4690978000007817,[12 15  1 20  6 11 14  7  3  4 19 16 10 17  5  0  8 14 19  9  2],4,512,5
53,256,5.0,1.5371484000006603,[12 15  1 20  6 11 14  7  3  4 19 16 10 17  5  0  8 14 19  9  2],4,512,5
54,512,5.0,1.6662997000003088,[12 15  1 20  6 11 14  7  3  4 19 16 10 17  5  0  8 14 19  9  2],4,512,5
55,0,21.0,1.668480900000759,[14 11 16  8 14 11  1  4 12 19  7 13 14 10  0 20  2 16 18 13  7],5,512,5
56,1,21.0,1.669672900000478,[14 11 16  8 14 11  1  4 12 19  7 13 14 10  0 20  2 16 18 13  7],5,512,5
57,2,20.0,1.6712353000002622,[14 11  4  8 14 11  1  4 12 19  7 13 14 10  0 20  2 16 18 13  7],5,512,5
58,4,20.0,1.6728585999999268,[14 11  4  8 14 11  1  4 12 19  7 13 14 10  0 20  2 16 18 13  7],5,512,5
59,8,18.0,1.6761560000004465,[14 11  4  8  7 11  1  4 12 19  7 10 14 10  0 20  2 16 18 13  7],5,512,5
60,16,14.0,1.6816625000001295,[15 11 20  8  7 11  1  4 12 19  7 10 14  2  0 20  2 16 18 13  7],5,512,5
61,32,13.0,1.689814800000022,[15 11 20  8  7 11  1  4 12 19 19 10 14  2  0 20  2 16 18 13  7],5,512,5
62,64,10.0,1.7057647999999972,[15 11 20 11  7 11  1  4 12 10 19 10 14 11  0 20  2 16 18 13  7],5,512,5
63,128,8.0,1.7397381000000678,[15 11 20 17  7 11  1  4 12 10 19  3 14 11  0 20  2 16 18 13  7],5,512,5
64,256,5.0,1.8044382000007317,[15  9 20 17  7 11  1  4 12 10 19  3 14 11  7 20  2 16 18 13  8],5,512,5
65,512,3.0,1.9373966000002838,[15  9 20 17  0 11  1  4 12 10 19  3 14 11  7 20  2 16 18 13  8],5,512,5
66,0,17.0,0.0005348000004232745,[ 6 19 14 10  7 20  6 18 10 10 20  3  7  2 20  1 11  5  1 20  0],0,512,10
67,1,17.0,0.001876799999990908,[ 6 19 14 10  7 20  6 18 10 10 20  3  7  2 20  1 11  5  1 20  0],0,512,10
68,2,17.0,0.0032620000001770677,[ 6 19 14 10  7 20  6 18 10 10 20  3  7  2 20  1 11  5  1 20  0],0,512,10
69,4,16.0,0.005229500000496046,[ 6 19 14 10  7 20  6 18 10 10 20  3  7  2 18  1 11  5  1 20  0],0,512,10
70,8,16.0,0.007711400000516733,[ 6 19 14 10  7 20  6 18 10 10 20  3  7  2 18  1 11  5  1 20  0],0,512,10
71,16,16.0,0.01194110000051296,[ 6 19 14 10  7 20  6 18 10 10 20  3  7  2 18  1 11  5  1 20  0],0,512,10
72,32,12.0,0.021249100000204635,[ 6 19 14 10  7 20  6 18 10  3 20  3  7  2 12  1 11  5  1 20 16],0,512,10
73,64,9.0,0.048421999999845866,[ 4 19 14 10  7 20  6 18 10  3 20  3  7  2 12  1 11  5 17 20 16],0,512,10
74,128,6.0,0.08279550000042946,[ 4 19 14 10  7 20  6  0 10  3 20  3  9  2 12  1 11  5 17 20 16],0,512,10
75,256,4.0,0.14268010000068898,[ 4 19  8 10  7 14  6  0 10  3 20  3  9  2 12  1 11  5 17 20 16],0,512,10
76,512,2.0,0.272587299999941,[ 4 19  8 10  7 14  6  0 10 20 15  3  9  2 12  1 11  5 17 20 16],0,512,10
77,0,19.0,0.2746009000002232,[17 20 16  6 16 19  8 16 19  7 16  6  0 12 18 18 16 12 15  7 18],1,512,10
78,1,19.0,0.27559040000051027,[17 20 16  6 16 19  8 16 19  7 16  6  0 12 18 18 16 12 15  7 18],1,512,10
79,2,19.0,0.27653640000062296,[17 20 16  6 16 19  8 16 19  7 16  6  0 12 18 18 16 12 15  7 18],1,512,10
80,4,19.0,0.2781994000006307,[17 20 16  6 16 19  8 16 19  7 16  6  0 12 18 18 16 12 15  7 18],1,512,10
81,8,19.0,0.28090100000008533,[17 20 16  6 16 19  8 16 19  7 16  6  0 12 18 18 16 12 15  7 18],1,512,10
82,16,16.0,0.28619960000014544,[17 20 16  6 16 19  8 16 19 10 16  6  0 12  4 18 16 12 15  7 18],1,512,10
83,32,9.0,0.29629190000014205,[17 20 13  6 16 19  8  1 19 10 16  6  0 12  4 19 16 12 15 11 18],1,512,10
84,64,8.0,0.31201400000009016,[17 20 13  6 16 19  8  1 19 10 16 17  0 12  4 19 16 12 15 11 18],1,512,10
85,128,6.0,0.3582329999999274,[17 20 13  6 16 19  8  1 18 10  1 17  0 12  4 19 16 12 15 11 18],1,512,10
86,256,6.0,0.4256356000005326,[17 20 13  6 16 19  8  1 18 10  1 17  0 12  4 19 16 12 15 11 18],1,512,10
87,512,2.0,0.5590296999998827,[ 5 20 13  6 16 19  8  1 18 10  3 17  0  9  4 19 16 12 15 11  7],1,512,10
88,0,20.0,0.561271399999896,[ 0 20 15 11  5 19  1 13  3  0 17 12  1  8 20  1  8  0 10  2 19],2,512,10
89,1,20.0,0.5625478000001749,[ 0 20 15 11  5 19  1 13  3  0 17 12  1  8 20  1  8  0 10  2 19],2,512,10
90,2,20.0,0.5635855000000447,[ 0 20 15 11  5 19  1 13  3  0 17 12  1  8 20  1  8  0 10  2 19],2,512,10
91,4,20.0,0.565224699999817,[ 0 20 15 11  5 19  1 13  3  0 17 12  1  8 20  1  8  0 10  2 19],2,512,10
92,8,15.0,0.569012400000247,[ 0 20 15 11  5 19  1 13  3  6 17 12  1  8 16  1  8 13 10  2 19],2,512,10
93,16,11.0,0.5744752999999037,[ 0 20 15 11  5 19  1 13  3  6 17 12  1  9 16  1  8 13 10  2 19],2,512,10
94,32,10.0,0.5833327999998801,[ 0 20 15 11  5 19  1 13  3  6 17 12  1  9 16  1  8  5 10  2 19],2,512,10
95,64,8.0,0.6005168000001504,[ 0 20 15 11  5 19  1 13  3  6 17 12  1  9 16  1  4 15 10  2 19],2,512,10
96,128,5.0,0.6340774999998757,[ 0 20 15 11  5 14  1 13  3  6 17 12  1  9 16 18  4  8 10  2 19],2,512,10
97,256,4.0,0.700647000000572,[ 0 20 15 11  5 14 10 13  3  6 17 12  1  9 16 18  4  8 10  2 19],2,512,10
98,512,4.0,0.8525706999998874,[ 0 20 15 11  5 14 10 13  3  6 17 12  1  9 16 18  4  8 10  2 19],2,512,10
99,0,20.0,0.8550850000001446,[ 4 16  4  3 18 20  1 10 12 14 11 20 10  6  4 16 19  8 13 11  5],3,512,10
100,1,20.0,0.856320500000038,[ 4 16  4  3 18 20  1 10 12 14 11 20 10  6  4 16 19  8 13 11  5],3,512,10
101,2,19.0,0.8579402000004848,[ 4 16  4  3 18 20  1 10 12 14 11 20 10  6  4 16 19  8 16 11  5],3,512,10
102,4,19.0,0.8598118999998405,[ 4 16  4  3 18 20  1 10 12 14 11 20 10  6  4 16 19  8 16 11  5],3,512,10
103,8,18.0,0.8630645000002914,[ 4 16  4  3 18 20  1 10 12 14  0 20 10  6  4 16 19  8 16 11  5],3,512,10
104,16,14.0,0.8684203000002526,[ 4 16  4  3 18 20  1 20 12 14  0 20  2  6 15 16 19  8 16 11  5],3,512,10
105,32,11.0,0.8771937999999864,[ 8 16  4  3 18 20  1 20 12 14  0 20  2  6 15 16 19 11 16 11  5],3,512,10
106,64,9.0,0.8929446000001917,[17  7  4  3 18 20  1 20 12 14  0 20  2  6 15 16 19 11 16 11  5],3,512,10
107,128,5.0,0.9234315000003335,[17  7  4 13 18 16  1 20 12 14  0 20  2  6 15 11 19 11 16 11  5],3,512,10
108,256,5.0,0.9820828000001711,[17  7  4 13 18 16  1 20 12 14  0 20  2  6 15 11 19 11 16 11  5],3,512,10
109,512,4.0,1.1085315999998784,[17  7  4 13 18 16  1 20 12 14  0 20  3  6 15 11 19 11 16 11  5],3,512,10
110,0,15.0,1.1106079999999565,[18 15  1  7  5 11 14  7  3 14 19 16 12 17  1 12 12 14 19  9  2],4,512,10
111,1,15.0,1.1119650000000547,[18 15  1  7  5 11 14  7  3 14 19 16 12 17  1 12 12 14 19  9  2],4,512,10
112,2,15.0,1.1132425000005242,[18 15  1  7  5 11 14  7  3 14 19 16 12 17  1 12 12 14 19  9  2],4,512,10
113,4,14.0,1.115127900000516,[18 15  1 20  5 11 14  7  3 14 19 16 12 17  1 12 12 14 19  9  2],4,512,10
114,8,12.0,1.1184544000007008,[18 15  1 20  5 11 14  7  3 14 19 16 12 17  1  3  8 14 19  9  2],4,512,10
115,16,12.0,1.1229922000002261,[18 15  1 20  5 11 14  7  3 14 19 16 12 17  1  3  8 14 19  9  2],4,512,10
116,32,9.0,1.1320826999999554,[18 15  1 20  5 11 14  7  3  4 19 16 10 17  1  3  8 14 19  9  2],4,512,10
117,64,6.0,1.1493897000000288,[12 15  1 20  6 11 14  7  3  4 19 16 10 17  5  3  8 14 19  9  2],4,512,10
118,128,5.0,1.1798007000006692,[12 15  1 20  6 11 14  7  3  4 19 16 10 17  5  0  8 14 19  9  2],4,512,10
119,256,5.0,1.2385488999998415,[12 15  1 20  6 11 14  7  3  4 19 16 10 17  5  0  8 14 19  9  2],4,512,10
120,512,5.0,1.378139800000099,[12 15  1 20  6 11 14  7  3  4 19 16 10 17  5  0  8 14 19  9  2],4,512,10
121,0,21.0,1.3806101000000126,[14 11 16  8 14 11  1  4 12 19  7 13 14 10  0 20  2 16 18 13  7],5,512,10
122,1,21.0,1.3816219999998793,[14 11 16  8 14 11  1  4 12 19  7 13 14 10  0 20  2 16 18 13  7],5,512,10
123,2,20.0,1.383010500000637,[14 11  4  8 14 11  1  4 12 19  7 13 14 10  0 20  2 16 18 13  7],5,512,10
