,Iteration,Fitness,Time,State,schedule,max_iters,Temperature,type,init_temp,decay,min_temp,current_value,exp_const
34,1,19.0,0.002434999999422871,[ 6 19 14 10  7 20  6 18 10 10 20 12  7  2 20  1 11  5  1 20  0],10,512,10,geometric,10,0.99,0.001,9.999755277316533,
35,2,17.0,0.0038281999995888327,[ 6 19 14 10  7 20  6 18 10 16 20 12  7  2 20  1 11  5  1 20  0],10,512,10,geometric,10,0.99,0.001,9.999615260444314,
36,4,17.0,0.006141199999547098,[ 6 19 14 10  7 20  6 18 10 16 20 20  7  2 14  1 11  5  1 20  0],10,512,10,geometric,10,0.99,0.001,9.999382807821704,
37,8,17.0,0.010997999999744934,[ 6 19  4 14  7 20  6 18  1 16 20 20  7  2 14  1 11  5  1 20  9],10,512,10,geometric,10,0.99,0.001,9.998894725148983,
38,16,19.0,0.019778999999289226,[ 6  9 14 18  7  9  6 14  1 16 20 20  7 16  6  1 11  8  1 20  9],10,512,10,geometric,10,0.99,0.001,9.998012341637075,
39,32,20.0,0.035290400000121736,[16  9  0 18 14  9  9 14  6 16 18  1  7  7 14  1 11  8  1 20 16],10,512,10,geometric,10,0.99,0.001,9.99645382519242,
40,64,19.0,0.06628879999971105,[18 12 20 19  0  3  1 14 20 11 15 12  7  7 10  1  5  8 20  1  5],10,512,10,geometric,10,0.99,0.001,9.993339971750787,
41,128,15.0,0.12051199999950768,[14 16  7  0 16 12  4 20 11  2  4  5  0 16 10 16  7 13  4  8  0],10,512,10,geometric,10,0.99,0.001,9.987895471154415,
42,256,13.0,0.2311173999996754,[ 0 20 13  8 18  0  4  9 11 19 19  4 14 14 16  8  2 15  6  8  5],10,512,10,geometric,10,0.99,0.001,9.976798881381898,
43,512,3.0,0.39209979999941424,[14 11 17 20  0 12 18 20 13  2  5 14 19  3 16  7  4  1 15 10  6],10,512,10,geometric,10,0.99,0.001,9.960670198273231,
44,0,17.0,0.001083699999981036,[ 6 19 14 10  7 20  6 18 10 10 20  3  7  2 20  1 11  5  1 20  0],10,512,10,arithmetic,10,0.0001,0.001,9.99999989163,
45,1,19.0,0.0031493999995291233,[ 6 19 14 10  7 20  6 18 10 10 20 12  7  2 20  1 11  5  1 20  0],10,512,10,arithmetic,10,0.0001,0.001,9.99999968506,
46,2,17.0,0.004706799999439681,[ 6 19 14 10  7 20  6 18 10 16 20 12  7  2 20  1 11  5  1 20  0],10,512,10,arithmetic,10,0.0001,0.001,9.99999952932,
