,Iteration,Fitness,Time,State,pop_size,keep_pct,max_iters,Population Size,Keep Percent
34,1,15.0,0.13696000000072672,[1. 1. 0. 1. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0. 1. 0.],100,0.8,512,100,0.8
35,2,17.0,0.2994760999999926,[0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 0. 1.],100,0.8,512,100,0.8
36,4,17.0,0.6146670000007362,[0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 0. 1.],100,0.8,512,100,0.8
37,8,17.0,1.2067922000005638,[0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 0. 1.],100,0.8,512,100,0.8
38,16,18.0,2.3070282000007865,[0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0.],100,0.8,512,100,0.8
39,32,18.0,5.182115200000226,[0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0.],100,0.8,512,100,0.8
40,64,18.0,10.58972520000043,[0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0.],100,0.8,512,100,0.8
41,128,18.0,20.832315800000288,[0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0.],100,0.8,512,100,0.8
42,256,18.0,38.21250790000067,[0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0.],100,0.8,512,100,0.8
43,512,18.0,75.38045480000073,[0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0.],100,0.8,512,100,0.8
44,0,11.0,0.0006905999998707557,[0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1],200,0.2,512,200,0.2
45,1,16.0,0.13966329999857408,[1. 1. 0. 1. 1. 0. 1. 0. 1. 0. 1. 1. 0. 1. 0. 1. 0. 1. 0. 0. 1.],200,0.2,512,200,0.2
46,2,19.0,0.30679349999991246,[0. 1. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1.],200,0.2,512,200,0.2
47,4,20.0,0.4583206999996037,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],200,0.2,512,200,0.2
48,8,20.0,0.4583206999996037,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],200,0.2,512,200,0.2
49,16,20.0,0.4583206999996037,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],200,0.2,512,200,0.2
50,32,20.0,0.4583206999996037,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],200,0.2,512,200,0.2
51,64,20.0,0.4583206999996037,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],200,0.2,512,200,0.2
52,128,20.0,0.4583206999996037,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],200,0.2,512,200,0.2
53,256,20.0,0.4583206999996037,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],200,0.2,512,200,0.2
54,512,20.0,0.4583206999996037,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],200,0.2,512,200,0.2
55,0,11.0,0.0002777999998215819,[0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1],200,0.4,512,200,0.4
56,1,18.0,0.145247799999197,[1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 1. 0. 1. 0. 1.],200,0.4,512,200,0.4
57,2,19.0,0.2852417999984027,[1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0.],200,0.4,512,200,0.4
58,4,20.0,0.5483562999997957,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],200,0.4,512,200,0.4
59,8,20.0,0.5483562999997957,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],200,0.4,512,200,0.4
60,16,20.0,0.5483562999997957,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],200,0.4,512,200,0.4
61,32,20.0,0.5483562999997957,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],200,0.4,512,200,0.4
62,64,20.0,0.5483562999997957,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],200,0.4,512,200,0.4
63,128,20.0,0.5483562999997957,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],200,0.4,512,200,0.4
64,256,20.0,0.5483562999997957,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],200,0.4,512,200,0.4
65,512,20.0,0.5483562999997957,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],200,0.4,512,200,0.4
66,0,11.0,0.0007167000003391877,[0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1],200,0.6,512,200,0.6
67,1,16.0,0.14271569999982603,[0. 1. 0. 1. 0. 0. 0. 1. 1. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0. 1. 0.],200,0.6,512,200,0.6
68,2,17.0,0.30494419999922684,[1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0. 0. 0.],200,0.6,512,200,0.6
69,4,19.0,0.579689000000144,[1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],200,0.6,512,200,0.6
70,8,20.0,1.0006601000004594,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],200,0.6,512,200,0.6
71,16,20.0,1.0006601000004594,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],200,0.6,512,200,0.6
72,32,20.0,1.0006601000004594,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],200,0.6,512,200,0.6
73,64,20.0,1.0006601000004594,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],200,0.6,512,200,0.6
74,128,20.0,1.0006601000004594,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],200,0.6,512,200,0.6
75,256,20.0,1.0006601000004594,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],200,0.6,512,200,0.6
76,512,20.0,1.0006601000004594,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],200,0.6,512,200,0.6
77,0,11.0,0.0005184000001463573,[0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1],200,0.8,512,200,0.8
78,1,15.0,0.13220710000132385,[0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0. 1. 1. 0. 1.],200,0.8,512,200,0.8
79,2,16.0,0.27231510000092385,[0. 0. 1. 0. 1. 0. 1. 0. 1. 1. 1. 0. 1. 0. 1. 0. 1. 1. 0. 1. 0.],200,0.8,512,200,0.8
80,4,17.0,0.5314513000012084,[0. 1. 0. 1. 0. 1. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0. 1.],200,0.8,512,200,0.8
81,8,17.0,1.0604352000009385,[0. 1. 0. 1. 0. 1. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0. 1.],200,0.8,512,200,0.8
82,16,19.0,2.2159812999998394,[1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0.],200,0.8,512,200,0.8
83,32,19.0,4.4374168000013015,[1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0.],200,0.8,512,200,0.8
84,64,19.0,8.79866420000144,[1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0.],200,0.8,512,200,0.8
85,128,19.0,17.70022280000012,[1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0.],200,0.8,512,200,0.8
86,256,19.0,36.32639250000102,[1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0.],200,0.8,512,200,0.8
87,512,19.0,72.95551650000016,[1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0.],200,0.8,512,200,0.8
88,0,11.0,0.000900399998499779,[0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1],300,0.2,512,300,0.2
89,1,18.0,0.1269070999987889,[1. 0. 1. 0. 1. 1. 0. 1. 0. 1. 0. 1. 1. 0. 1. 0. 1. 0. 1. 0. 1.],300,0.2,512,300,0.2
90,2,19.0,0.269522099999449,[0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1.],300,0.2,512,300,0.2
91,4,20.0,0.5539367999990645,[1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1.],300,0.2,512,300,0.2
92,8,20.0,0.5539367999990645,[1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1.],300,0.2,512,300,0.2
93,16,20.0,0.5539367999990645,[1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1.],300,0.2,512,300,0.2
94,32,20.0,0.5539367999990645,[1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1.],300,0.2,512,300,0.2
95,64,20.0,0.5539367999990645,[1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1.],300,0.2,512,300,0.2
96,128,20.0,0.5539367999990645,[1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1.],300,0.2,512,300,0.2
97,256,20.0,0.5539367999990645,[1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1.],300,0.2,512,300,0.2
98,512,20.0,0.5539367999990645,[1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1.],300,0.2,512,300,0.2
99,0,11.0,0.0006627000002481509,[0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1],300,0.4,512,300,0.4
100,1,17.0,0.14994889999979932,[1. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.],300,0.4,512,300,0.4
101,2,18.0,0.2989113000003272,[1. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1.],300,0.4,512,300,0.4
102,4,20.0,0.5896133999995072,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],300,0.4,512,300,0.4
103,8,20.0,0.5896133999995072,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],300,0.4,512,300,0.4
104,16,20.0,0.5896133999995072,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],300,0.4,512,300,0.4
105,32,20.0,0.5896133999995072,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],300,0.4,512,300,0.4
106,64,20.0,0.5896133999995072,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],300,0.4,512,300,0.4
107,128,20.0,0.5896133999995072,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],300,0.4,512,300,0.4
108,256,20.0,0.5896133999995072,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],300,0.4,512,300,0.4
109,512,20.0,0.5896133999995072,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],300,0.4,512,300,0.4
110,0,11.0,0.0006843999999546213,[0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1],300,0.6,512,300,0.6
111,1,16.0,0.14136160000089149,[1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 1. 1. 0. 1. 0. 0. 1. 0. 0. 1.],300,0.6,512,300,0.6
112,2,17.0,0.27941740000096615,[1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 1. 0. 1. 1. 0.],300,0.6,512,300,0.6
113,4,18.0,0.5443169999998645,[1. 0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 1. 0. 1. 0. 1.],300,0.6,512,300,0.6
114,8,19.0,1.1517787000011595,[1. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],300,0.6,512,300,0.6
