,Iteration,Fitness,Time,State,pop_size,keep_pct,max_iters,Population Size,Keep Percent
34,1,15.0,0.17198069999994914,[1. 1. 0. 1. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0. 1. 0.],100,0.8,512,100,0.8
35,2,17.0,0.36133260000042355,[0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 0. 1.],100,0.8,512,100,0.8
36,4,17.0,0.7795477999998184,[0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 0. 1.],100,0.8,512,100,0.8
37,8,17.0,1.5385212000001047,[0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 0. 1.],100,0.8,512,100,0.8
38,16,18.0,2.5875686999997924,[0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0.],100,0.8,512,100,0.8
39,32,18.0,4.743829199999709,[0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0.],100,0.8,512,100,0.8
40,64,18.0,9.395947699999851,[0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0.],100,0.8,512,100,0.8
41,128,18.0,17.889648999999736,[0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0.],100,0.8,512,100,0.8
42,256,18.0,34.88727540000036,[0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0.],100,0.8,512,100,0.8
43,512,18.0,69.37422700000025,[0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0.],100,0.8,512,100,0.8
44,0,11.0,0.0008797000000413391,[0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1],200,0.2,512,200,0.2
45,1,16.0,0.13434520000009798,[1. 1. 0. 1. 1. 0. 1. 0. 1. 0. 1. 1. 0. 1. 0. 1. 0. 1. 0. 0. 1.],200,0.2,512,200,0.2
46,2,19.0,0.29014880000067933,[0. 1. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1.],200,0.2,512,200,0.2
47,4,20.0,0.4356330999999045,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],200,0.2,512,200,0.2
48,8,20.0,0.4356330999999045,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],200,0.2,512,200,0.2
49,16,20.0,0.4356330999999045,[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.],200,0.2,512,200,0.2
